target_leaf,distance_from_source,t_flip_absolute,t_flip_relative,warmup_ok,a,b,lr,seed,local_steps,branching,depth,leaf_size,p,d_param,n_meas_rounds,nucleation_leaf,t_nucleation
0,4,15,15,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
1,4,11,11,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
2,4,12,12,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
3,4,13,13,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
4,4,17,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
5,4,15,15,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
6,4,21,21,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
7,4,21,21,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
8,3,12,12,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
9,3,13,13,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
10,3,10,10,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
11,3,9,9,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
13,1,10,10,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
14,2,9,9,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
15,2,10,10,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
16,5,19,19,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
17,5,22,22,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
18,5,22,22,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
19,5,24,24,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
20,5,20,20,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
21,5,20,20,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
22,5,25,25,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
23,5,24,24,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
24,5,22,22,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
25,5,17,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
26,5,17,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
27,5,15,15,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
28,5,23,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
29,5,21,21,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
30,5,23,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
31,5,23,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,0
0,3,13,9,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
1,3,14,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
2,3,14,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
3,3,14,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
4,1,5,1,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
6,2,14,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
7,2,16,12,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
8,4,18,14,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
9,4,18,14,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,4
